,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1236,Fungal infection,Itching, Nodal skin eruptions, Dischromic patches,
1237,Fungal infection,Itching, Skin rash, Dischromic patches,
1238,Fungal infection,Itching, Skin rash, Nodal skin eruptions,
1239,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
1240,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
1241,Allergy, Shivering, Chills, Watering from eyes,
1242,Allergy, Continuous sneezing, Chills, Watering from eyes,
1243,Allergy, Continuous sneezing, Shivering, Watering from eyes,
1244,Allergy, Continuous sneezing, Shivering, Chills,
1245,Allergy, Shivering, Chills, Watering from eyes,
1246,Allergy, Continuous sneezing, Chills, Watering from eyes,
1247,Allergy, Continuous sneezing, Shivering, Watering from eyes,
1248,Allergy, Continuous sneezing, Shivering, Chills,
1249,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
1250,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
1251,GERD, Stomach pain, Ulcers on tongue, Vomiting, Cough
1252,GERD, Stomach pain, Acidity, Vomiting, Cough
1253,GERD, Stomach pain, Acidity, Ulcers on tongue, Cough
1254,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
1255,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
1256,GERD, Acidity, Ulcers on tongue, Vomiting, Cough
1257,GERD, Stomach pain, Ulcers on tongue, Vomiting, Cough
1258,GERD, Stomach pain, Acidity, Vomiting, Cough
1259,GERD, Stomach pain, Acidity, Ulcers on tongue, Cough
1260,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1261,Chronic cholestasis, Vomiting, Yellowish skin, Nausea, Loss of appetite
1262,Chronic cholestasis,Itching, Yellowish skin, Nausea, Loss of appetite
1263,Chronic cholestasis,Itching, Vomiting, Nausea, Loss of appetite
1264,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Loss of appetite
1265,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1266,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1267,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1268,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1269,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
1270,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
1271,Drug Reaction,Itching, Stomach pain, Burning Micturition, Spotting urination
1272,Drug Reaction,Itching, Skin rash, Burning Micturition, Spotting urination
1273,Drug Reaction,Itching, Skin rash, Stomach pain, Spotting urination
1274,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
1275,Drug Reaction, Skin rash, Stomach pain, Burning Micturition, Spotting urination
1276,Drug Reaction,Itching, Stomach pain, Burning Micturition, Spotting urination
1277,Drug Reaction,Itching, Skin rash, Burning Micturition, Spotting urination
1278,Drug Reaction,Itching, Skin rash, Stomach pain, Spotting urination
1279,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
1280,Peptic ulcer diseae, Vomiting, Loss of appetite, Abdominal pain, Passage of gases
1281,Peptic ulcer diseae, Vomiting, Indigestion, Abdominal pain, Passage of gases
1282,Peptic ulcer diseae, Indigestion, Loss of appetite, Abdominal pain, Passage of gases
1283,Peptic ulcer diseae, Vomiting, Loss of appetite, Abdominal pain, Passage of gases
1284,Peptic ulcer diseae, Vomiting, Indigestion, Abdominal pain, Passage of gases
1285,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Passage of gases
1286,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
1287,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
1288,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
1289,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
1290,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
1291,AIDS, Patches in throat, High fever, Extra marital contacts,
1292,AIDS, Muscle wasting, High fever, Extra marital contacts,
1293,AIDS, Muscle wasting, Patches in throat, Extra marital contacts,
1294,AIDS, Muscle wasting, Patches in throat, High fever,
1295,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
1296,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
1297,AIDS, Patches in throat, High fever, Extra marital contacts,
1298,AIDS, Muscle wasting, High fever, Extra marital contacts,
1299,AIDS, Muscle wasting, Patches in throat, High fever,
1300,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1301,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1302,Diabetes , Weight loss, Restlessness, Lethargy, Irregular sugar level
1303,Diabetes , Fatigue, Restlessness, Lethargy, Irregular sugar level
1304,Diabetes , Fatigue, Weight loss, Lethargy, Irregular sugar level
1305,Diabetes , Fatigue, Weight loss, Restlessness, Irregular sugar level
1306,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1307,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1308,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1309,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
1310,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
1311,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
1312,Gastroenteritis, Sunken eyes, Dehydration, Diarrhoea,
1313,Gastroenteritis, Vomiting, Dehydration, Diarrhoea,
1314,Gastroenteritis, Vomiting, Sunken eyes, Diarrhoea,
1315,Gastroenteritis, Vomiting, Sunken eyes, Dehydration,
1316,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
1317,Gastroenteritis, Sunken eyes, Dehydration, Diarrhoea,
1318,Gastroenteritis, Vomiting, Dehydration, Diarrhoea,
1319,Gastroenteritis, Vomiting, Sunken eyes, Diarrhoea,
1320,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
1321,Bronchial Asthma, Cough, High fever, Breathlessness, Family history
1322,Bronchial Asthma, Fatigue, High fever, Breathlessness, Family history
1323,Bronchial Asthma, Fatigue, Cough, Breathlessness, Family history
1324,Bronchial Asthma, Fatigue, Cough, High fever, Family history
1325,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
1326,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
1327,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
1328,Bronchial Asthma, Cough, High fever, Breathlessness, Family history
1329,Bronchial Asthma, Fatigue, High fever, Breathlessness, Family history
1330,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
1331,Hypertension , Chest pain, Dizziness, Loss of balance, Lack of concentration
1332,Hypertension , Headache, Dizziness, Loss of balance, Lack of concentration
1333,Hypertension , Headache, Chest pain, Loss of balance, Lack of concentration
1334,Hypertension , Headache, Chest pain, Dizziness, Lack of concentration
1335,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
1336,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
1337,Hypertension , Chest pain, Dizziness, Loss of balance, Lack of concentration
1338,Hypertension , Headache, Dizziness, Loss of balance, Lack of concentration
1339,Hypertension , Headache, Chest pain, Loss of balance, Lack of concentration
1340,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1341,Migraine, Indigestion, Headache, Blurred and Distorted vision, Excessive hunger
1342,Migraine, Acidity, Headache, Blurred and Distorted vision, Excessive hunger
1343,Migraine, Acidity, Indigestion, Blurred and Distorted vision, Excessive hunger
1344,Migraine, Acidity, Indigestion, Headache, Excessive hunger
1345,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1346,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1347,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1348,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1349,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
1350,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
1351,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
1352,Cervical spondylosis, Weakness in limbs, Neck pain, Dizziness, Loss of balance
1353,Cervical spondylosis, Back pain, Neck pain, Dizziness, Loss of balance
1354,Cervical spondylosis, Back pain, Weakness in limbs, Dizziness, Loss of balance
1355,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Loss of balance
1356,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
1357,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
1358,Cervical spondylosis, Weakness in limbs, Neck pain, Dizziness, Loss of balance
1359,Cervical spondylosis, Back pain, Neck pain, Dizziness, Loss of balance
1360,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
1361,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
1362,Paralysis (brain hemorrhage), Headache, Weakness of one body side, Altered sensorium,
1363,Paralysis (brain hemorrhage), Vomiting, Weakness of one body side, Altered sensorium,
1364,Paralysis (brain hemorrhage), Vomiting, Headache, Altered sensorium,
1365,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side,
1366,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
1367,Paralysis (brain hemorrhage), Headache, Weakness of one body side, Altered sensorium,
1368,Paralysis (brain hemorrhage), Vomiting, Weakness of one body side, Altered sensorium,
1369,Paralysis (brain hemorrhage), Vomiting, Headache, Altered sensorium,
1370,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1371,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1372,Jaundice, Vomiting, Fatigue, Weight loss, High fever
1373,Jaundice,Itching, Fatigue, Weight loss, High fever
1374,Jaundice,Itching, Vomiting, Weight loss, High fever
1375,Jaundice,Itching, Vomiting, Fatigue, High fever
1376,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1377,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1378,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1379,Jaundice,Itching, Vomiting, Fatigue, Weight loss
1380,Malaria, Chills, Vomiting, High fever, Sweating
1381,Malaria, Chills, Vomiting, High fever, Sweating
1382,Malaria, Chills, Vomiting, High fever, Sweating
1383,Malaria, Vomiting, High fever, Sweating, Headache
1384,Malaria, Chills, High fever, Sweating, Headache
1385,Malaria, Chills, Vomiting, Sweating, Headache
1386,Malaria, Chills, Vomiting, High fever, Headache
1387,Malaria, Chills, Vomiting, High fever, Sweating
1388,Malaria, Chills, Vomiting, High fever, Sweating
1389,Malaria, Chills, Vomiting, High fever, Sweating
1390,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1391,Chicken pox, Skin rash, Fatigue, Lethargy, High fever
1392,Chicken pox,Itching, Fatigue, Lethargy, High fever
1393,Chicken pox,Itching, Skin rash, Lethargy, High fever
1394,Chicken pox,Itching, Skin rash, Fatigue, High fever
1395,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1396,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1397,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1398,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1399,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
1400,Dengue, Skin rash, Chills, Joint pain, Vomiting
1401,Dengue, Skin rash, Chills, Joint pain, Vomiting
1402,Dengue, Skin rash, Chills, Joint pain, Vomiting
1403,Dengue, Skin rash, Chills, Joint pain, Vomiting
1404,Dengue, Chills, Joint pain, Vomiting, Fatigue
1405,Dengue, Skin rash, Joint pain, Vomiting, Fatigue
1406,Dengue, Skin rash, Chills, Vomiting, Fatigue
1407,Dengue, Skin rash, Chills, Joint pain, Fatigue
1408,Dengue, Skin rash, Chills, Joint pain, Vomiting
1409,Dengue, Skin rash, Chills, Joint pain, Vomiting
1410,Typhoid, Chills, Vomiting, Fatigue, High fever
1411,Typhoid, Chills, Vomiting, Fatigue, High fever
1412,Typhoid, Chills, Vomiting, Fatigue, High fever
1413,Typhoid, Chills, Vomiting, Fatigue, High fever
1414,Typhoid, Chills, Vomiting, Fatigue, High fever
1415,Typhoid, Chills, Vomiting, Fatigue, High fever
1416,Typhoid, Chills, Vomiting, Fatigue, High fever
1417,Typhoid, Chills, Vomiting, Fatigue, High fever
1418,Typhoid, Chills, Vomiting, Fatigue, High fever
1419,Typhoid, Chills, Fatigue, High fever, Headache
1420,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1421,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1422,hepatitis A, Vomiting, Yellowish skin, Dark urine, Nausea
1423,hepatitis A, Joint pain, Yellowish skin, Dark urine, Nausea
1424,hepatitis A, Joint pain, Vomiting, Dark urine, Nausea
1425,hepatitis A, Joint pain, Vomiting, Yellowish skin, Nausea
1426,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1427,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1428,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1429,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
1430,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1431,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1432,Hepatitis B, Fatigue, Lethargy, Yellowish skin, Dark urine
1433,Hepatitis B,Itching, Lethargy, Yellowish skin, Dark urine
1434,Hepatitis B,Itching, Fatigue, Yellowish skin, Dark urine
1435,Hepatitis B,Itching, Fatigue, Lethargy, Dark urine
1436,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1437,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1438,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1439,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
1440,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1441,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1442,Hepatitis C, Yellowish skin, Nausea, Loss of appetite, Yellowing of eyes
1443,Hepatitis C, Fatigue, Nausea, Loss of appetite, Yellowing of eyes
1444,Hepatitis C, Fatigue, Yellowish skin, Loss of appetite, Yellowing of eyes
1445,Hepatitis C, Fatigue, Yellowish skin, Nausea, Yellowing of eyes
1446,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1447,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1448,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1449,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
1450,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1451,Hepatitis D, Vomiting, Fatigue, Yellowish skin, Dark urine
1452,Hepatitis D, Joint pain, Fatigue, Yellowish skin, Dark urine
1453,Hepatitis D, Joint pain, Vomiting, Yellowish skin, Dark urine
1454,Hepatitis D, Joint pain, Vomiting, Fatigue, Dark urine
1455,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1456,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1457,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1458,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1459,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
1460,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1461,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1462,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1463,Hepatitis E, Vomiting, Fatigue, High fever, Yellowish skin
1464,Hepatitis E, Joint pain, Fatigue, High fever, Yellowish skin
1465,Hepatitis E, Joint pain, Vomiting, High fever, Yellowish skin
1466,Hepatitis E, Joint pain, Vomiting, Fatigue, Yellowish skin
1467,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1468,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1469,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
1470,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1471,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1472,Alcoholic hepatitis, Yellowish skin, Abdominal pain, Swelling of stomach, Distention of abdomen
1473,Alcoholic hepatitis, Vomiting, Abdominal pain, Swelling of stomach, Distention of abdomen
1474,Alcoholic hepatitis, Vomiting, Yellowish skin, Swelling of stomach, Distention of abdomen
1475,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Distention of abdomen
1476,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1477,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1478,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1479,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
1480,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1481,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1482,Tuberculosis, Vomiting, Fatigue, Weight loss, Cough
1483,Tuberculosis, Chills, Fatigue, Weight loss, Cough
1484,Tuberculosis, Chills, Vomiting, Weight loss, Cough
1485,Tuberculosis, Chills, Vomiting, Fatigue, Cough
1486,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1487,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1488,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1489,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
1490,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1491,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1492,Common Cold, Chills, Fatigue, Cough, High fever
1493,Common Cold, Continuous sneezing, Fatigue, Cough, High fever
1494,Common Cold, Continuous sneezing, Chills, Cough, High fever
1495,Common Cold, Continuous sneezing, Chills, Fatigue, High fever
1496,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1497,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1498,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1499,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
1500,Pneumonia, Chills, Fatigue, Cough, High fever
1501,Pneumonia, Chills, Fatigue, Cough, High fever
1502,Pneumonia, Chills, Fatigue, Cough, High fever
1503,Pneumonia, Fatigue, Cough, High fever, Breathlessness
1504,Pneumonia, Chills, Cough, High fever, Breathlessness
1505,Pneumonia, Chills, Fatigue, High fever, Breathlessness
1506,Pneumonia, Chills, Fatigue, Cough, Breathlessness
1507,Pneumonia, Chills, Fatigue, Cough, High fever
1508,Pneumonia, Chills, Fatigue, Cough, High fever
1509,Pneumonia, Chills, Fatigue, Cough, High fever
1510,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1511,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1512,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1513,Dimorphic hemmorhoids(piles), Pain during Bowel movements, Pain in Anal region, Bloody stool, Irritation in Anus
1514,Dimorphic hemmorhoids(piles), Constipation, Pain in Anal region, Bloody stool, Irritation in Anus
1515,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Bloody stool, Irritation in Anus
1516,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Irritation in Anus
1517,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1518,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1519,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
1520,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
1521,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
1522,Heart attack, Breathlessness, Sweating, Chest pain,
1523,Heart attack, Vomiting, Sweating, Chest pain,
1524,Heart attack, Vomiting, Breathlessness, Chest pain,
1525,Heart attack, Vomiting, Breathlessness, Sweating,
1526,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
1527,Heart attack, Breathlessness, Sweating, Chest pain,
1528,Heart attack, Vomiting, Sweating, Chest pain,
1529,Heart attack, Vomiting, Breathlessness, Chest pain,
1530,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1531,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1532,Varicose veins, Cramps, Bruising, Obesity, Swollen legs
1533,Varicose veins, Fatigue, Bruising, Obesity, Swollen legs
1534,Varicose veins, Fatigue, Cramps, Obesity, Swollen legs
1535,Varicose veins, Fatigue, Cramps, Bruising, Swollen legs
1536,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1537,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1538,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1539,Varicose veins, Fatigue, Cramps, Bruising, Obesity
1540,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
1541,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
1542,Hypothyroidism, Weight gain, Cold hands and feets, Mood swings, Lethargy
1543,Hypothyroidism, Weight gain, Cold hands and feets, Mood swings, Lethargy
1544,Hypothyroidism, Fatigue, Cold hands and feets, Mood swings, Lethargy
1545,Hypothyroidism, Fatigue, Weight gain, Mood swings, Lethargy
1546,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Lethargy
1547,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
1548,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
1549,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
1550,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1551,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1552,Hyperthyroidism, Mood swings, Weight loss, Restlessness, Sweating
1553,Hyperthyroidism, Fatigue, Weight loss, Restlessness, Sweating
1554,Hyperthyroidism, Fatigue, Mood swings, Restlessness, Sweating
1555,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Sweating
1556,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1557,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1558,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1559,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
1560,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1561,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1562,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1563,Hypoglycemia, Fatigue, Anxiety, Sweating, Headache
1564,Hypoglycemia, Vomiting, Anxiety, Sweating, Headache
1565,Hypoglycemia, Vomiting, Fatigue, Sweating, Headache
1566,Hypoglycemia, Vomiting, Fatigue, Anxiety, Headache
1567,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1568,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1569,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
1570,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1571,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1572,Osteoarthristis, Neck pain, Knee pain, Hip joint pain, Swelling joints
1573,Osteoarthristis, Joint pain, Knee pain, Hip joint pain, Swelling joints
1574,Osteoarthristis, Joint pain, Neck pain, Hip joint pain, Swelling joints
1575,Osteoarthristis, Joint pain, Neck pain, Knee pain, Swelling joints
1576,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1577,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1578,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1579,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
1580,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1581,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1582,Arthritis, Stiff neck, Swelling joints, Movement stiffness, Painful walking
1583,Arthritis, Muscle weakness, Swelling joints, Movement stiffness, Painful walking
1584,Arthritis, Muscle weakness, Stiff neck, Movement stiffness, Painful walking
1585,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Painful walking
1586,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1587,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1588,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1589,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
1590,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
1591,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
1592,(vertigo) Paroymsal  Positional Vertigo, Headache, Nausea, Spinning movements, Loss of balance
1593,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Nausea, Spinning movements, Loss of balance
1594,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Spinning movements, Loss of balance
1595,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss of balance
1596,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
1597,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
1598,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
1599,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Loss of balance
1600,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
1601,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
1602,Acne, Pus filled pimples, Blackheads, Scurring,
1603,Acne, Skin rash, Blackheads, Scurring,
1604,Acne, Skin rash, Pus filled pimples, Scurring,
1605,Acne, Skin rash, Pus filled pimples, Blackheads,
1606,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
1607,Acne, Skin rash, Pus filled pimples, Blackheads,
1608,Acne, Skin rash, Pus filled pimples, Scurring,
1609,Acne, Skin rash, Blackheads, Scurring,
1610,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
1611,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
1612,Urinary tract infection, Bladder discomfort, Foul smell of urine, Continuous feel of urine,
1613,Urinary tract infection, Burning Micturition, Foul smell of urine, Continuous feel of urine,
1614,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
1615,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine,
1616,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
1617,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
1618,Urinary tract infection, Bladder discomfort, Foul smell of urine, Continuous feel of urine,
1619,Urinary tract infection, Burning Micturition, Bladder discomfort, Continuous feel of urine,
1620,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
1621,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
1622,Psoriasis, Joint pain, Skin peeling, Silver like dusting, Small dents in nails
1623,Psoriasis, Skin rash, Skin peeling, Silver like dusting, Small dents in nails
1624,Psoriasis, Skin rash, Joint pain, Silver like dusting, Small dents in nails
1625,Psoriasis, Skin rash, Joint pain, Skin peeling, Small dents in nails
1626,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
1627,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
1628,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
